MDTU,abs_delta_S
1,0.3196
2,0.2082
3,0.05895
4,0.02489
5,0.01375
6,0.00743
7,0.01403
8,0.0174
9,0.01686
10,0.01172
11,0.004703
12,0.01837
13,0.004228
14,0.03762
15,0.02988
16,0.005592
17,0.006763
18,0.009407
19,0.02376
20,0.008323
21,0.03495
22,0.04398
23,0.05953
24,0.02558
25,0.009443
26,0.05607
27,0.003804
28,0.01331
29,0.01167
30,0.02617
31,0.0787
32,0.1237
33,0.1415
34,0.002527
35,0.1091
36,0.08191
37,0.1786
38,0.1148
39,0.05052
40,0.1009
41,0.8738
42,0.361
43,0.3582
44,0.09871
45,0.2146
46,0.9726
47,0.5074
48,0.7543
49,1.219
50,1.457
51,0.5877
52,0.1434
53,0.8039
54,0.647
55,0.7049
56,0.01278
57,0.2057
58,1.37
59,1.077
60,0.02131
61,0.3115
62,2.433
63,3.766
64,1.878
65,2.334
66,1.703
67,2.773
68,1.032
69,2.002
70,1.687
71,2.574
72,0.428
73,0.7785
74,1.905
75,2.138
76,0.5037
77,1.156
78,0.7585
79,0.2038
80,0.2403
81,1.207
82,0.8205
83,1.495
84,1.59
85,1.188
86,1.029
87,1.881
88,0.3953
89,1.278
90,1.736
91,1.145
92,0.7613
93,0.3113
94,0.8016
95,2.27
96,1.023
97,0.2787
98,0.7386
99,0.8422
100,0.9747
101,0.1009
102,1.579
103,0.4254
104,0.03687
105,0.3407
106,1.213
107,2.76
108,1.292
109,1.081
110,0.9409
111,0.8333
112,0.8535
113,0.5333
114,0.1239
115,0.03171
116,0.616
117,1.088
118,0.5365
119,0.3705
120,0.1866
121,0.0486
122,1.405
123,0.3493
124,1.027
125,0.8278
126,1.476
127,0.2658
128,1.034
129,1.445
130,0.08153
131,0.5804
132,0.3092
133,0.3094
134,0.8548
135,0.9305
136,0.03505
137,0.1622
138,0.5085
139,0.7498
140,2.13
141,1.661
142,0.2194
143,0.514
144,1.69
145,0.2343
146,0.3822
147,1.126
148,0.3978
149,1.585
150,0.7141
151,0.3902
152,0.5398
153,1.845
154,1.081
155,0.07579
156,0.7675
157,0.599
158,0.2657
159,0.04062
160,0.122
161,0.5474
162,0.9108
163,1.818
164,0.111
165,1.35
166,1.793
167,0.6282
168,1.528
169,1.151
170,0.6056
171,0.4853
172,0.9848
173,0.6419
174,0.5011
175,0.01981
176,0.3333
177,0.09439
178,0.9857
179,0.6736
180,0.9542
181,0.1302
182,1.48
183,0.7827
184,1.134
185,0.001979
186,0.2869
187,0.1524
188,0.7683
189,1.131
190,2.04
191,0.5667
192,1.536
193,0.8696
194,0.3784
195,1.339
196,1.312
197,1.592
198,0.8998
199,2.108
200,1.016
201,0.4957
202,0.9928
203,1.248
204,1.287
205,0.02961
206,0.1652
207,0.989
208,0.8734
209,0.03709
210,1.01
211,1.213
212,0.5529
213,0.6689
214,1.712
215,0.544
216,0.1424
217,1.102
218,1.384
219,0.3101
220,0.0127
221,0.8404
222,2.464
223,1.073
224,0.8549
225,0.3352
226,1.187
227,0.4965
228,0.2895
229,0.06696
230,0.3062
231,0.5408
232,0.5757
233,1.085
234,0.02172
235,0.5208
236,0.7167
237,0.9689
238,2.274
239,2.157
240,0.01097
241,1.281
242,2.019
243,2.413
244,0.7678
245,0.3583
246,0.9147
247,0.5925
248,0.2193
249,2.239
250,0.504
251,0.1237
252,0.054
253,1.073
254,1.061
255,1.919
256,0.779
257,1.319
258,1.013
259,0.2477
260,0.4565
261,0.2703
262,0.1032
263,0.2348
264,0.5481
265,1.278
266,0.5662
267,1.604
268,0.2087
269,0.8795
270,0.7833
271,1.027
272,0.1614
273,0.6131
274,0.998
275,0.4246
276,0.06736
277,0.6656
278,0.4576
279,0.2916
280,0.07079
281,0.5453
282,0.8575
283,0.03418
284,1.407
285,0.1055
286,0.0391
287,1.206
288,1.805
289,0.9854
290,0.01719
291,0.5903
292,0.7167
293,0.293
294,0.4896
295,0.9264
296,1.034
297,0.7089
298,1.009
299,0.05018
300,0.08124
301,1.195
302,2.409
303,4.018
304,1.58
305,0.8637
306,0.09534
307,0.6096
308,0.3625
309,0.1062
310,0.5261
311,1.26
312,1.121
313,0.5517
314,0.1317
315,1.116
316,0.483
317,0.5085
318,0.691
319,0.4849
320,0.2593
321,0.9693
322,1.419
323,1.217
324,0.3787
325,0.2373
326,0.1682
327,0.3783
328,1.468
329,1.474
330,0.7557
331,0.6846
332,1.378
333,0.7259
334,1.337
335,2.43
336,1.235
337,1.112
338,1.455
339,1.222
340,1.24
341,0.5306
342,0.6524
343,0.4429
344,0.8565
345,1.581
346,2.03
347,0.02593
348,1.166
349,1.227
350,0.7572
351,0.7453
352,0.4583
353,0.6956
354,0.477
355,0.6875
356,0.8758
357,0.5752
358,0.6952
359,0.6758
360,0.9214
361,0.7494
362,1.511
363,0.394
364,0.3409
365,0.7899
366,1.185
367,0.7898
368,2.094
369,0.6572
370,0.2171
371,0.3704
372,0.06798
373,1.238
374,1.207
375,0.01758
376,1.274
377,0.8279
378,0.2175
379,0.09133
380,0.125
381,0.6063
382,0.4621
383,0.5987
384,1.235
385,2.309
386,0.9425
387,1.757
388,1.318
389,1.212
390,0.3703
391,1.227
392,0.9323
393,0.5328
394,0.7255
395,0.8385
396,0.3005
397,0.2427
398,0.8288
399,1.34
400,0.02881
401,0.7008
402,0.5787
403,0.1064
404,0.7952
405,0.5703
406,1.597
407,1.27
408,1.742
409,0.6514
410,2.269
411,1.447
412,1.467
413,0.7386
414,0.1616
415,0.2412
416,0.6602
417,0.399
418,0.1242
419,0.2794
420,0.07397
421,0.5709
422,0.2719
423,1.367
424,0.9374
425,1.908
426,1.886
427,1.937
428,0.3035
429,2.106
430,0.2221
431,0.5932
432,1.087
433,1.597
434,0.7956
435,0.2368
436,0.5487
437,1.337
438,0.08612
439,0.4728
440,0.1562
441,0.5984
442,3.525
443,0.6043
444,0.1057
445,1.438
446,2.725
447,0.2666
448,0.5809
449,0.5936
450,0.1824
451,0.4624
452,0.3597
453,0.3561
454,0.3779
455,0.7251
456,1.413
457,0.6277
458,0.4346
459,0.6381
460,0.08933
461,0.7849
462,0.5077
463,0.7323
464,0.6918
465,2.437
466,0.3324
467,0.3052
468,1.622
469,0.241
470,1.191
471,0.1121
472,0.6402
473,1.423
474,1.508
475,1.222
476,0.9993
477,0.1906
478,0.2383
479,1.959
480,1.342
481,0.519
482,0.7347
483,0.9441
484,0.8042
485,0.4908
486,2.107
487,0.5694
488,0.7209
489,2.679
490,1.816
491,1.42
492,0.8683
493,1.119
494,0.5275
495,0.1526
496,0.3893
497,0.2914
498,0.7933
499,1.637
500,1.197
501,2.159
502,1.073
503,1.197
504,1.249
505,1.8
506,1.657
507,1.509
508,0.2613
509,0.3047
510,3.145
511,0.9265
512,0.9637
513,1.182
514,2.045
515,0.765
516,1.866
517,1.39
518,0.444
519,0.2161
520,0.158
521,0.2409
522,0.6919
523,0.4098
524,0.6743
525,0.905
526,0.3263
527,2.371
528,1.535
529,1.712
530,0.6703
531,0.24
532,0.1908
533,0.1257
534,0.2926
535,1.423
536,0.4711
537,0.9677
538,0.4918
539,1.902
540,0.6997
541,0.3541
542,0.3809
543,0.1537
544,0.2703
545,0.9569
546,0.8151
547,0.6872
548,0.01112
549,2.315
550,2.139
551,2.301
552,1.567
553,1.755
554,1.607
555,2.547
556,1.958
557,0.9305
558,0.161
559,0.2726
560,0.494
561,0.07056
562,0.4223
563,0.01967
564,0.02142
565,0.01373
566,0.3588
567,1.606
568,0.5117
569,0.1635
570,0.8512
571,0.3975
572,0.02216
573,0.9871
574,1.177
575,0.7854
576,0.009558
577,0.7734
578,0.3006
579,1.98
580,0.2319
581,1.401
582,0.8716
583,1.163
584,0.198
585,0.3274
586,0.3392
587,1.268
588,0.6437
589,0.5613
590,1.63
591,0.3136
592,0.601
593,0.8441
594,0.8025
595,0.7667
596,1.451
597,1.762
598,1.028
599,1.139
600,0.5492
601,0.4467
602,0.9328
603,0.7454
604,0.4688
605,1.361
606,0.9243
607,0.03625
608,1.552
609,0.8535
610,1.936
611,0.0619
612,0.7079
613,0.06292
614,0.3508
615,0.7063
616,0.6427
617,0.2847
618,0.5843
619,1.213
620,0.2164
621,0.2421
622,0.223
623,1.343
624,0.9416
625,0.02583
626,0.107
627,2.482
628,0.9491
629,0.4848
630,1.348
631,1.404
632,0.5077
633,0.5202
634,1.757
635,0.6357
636,0.2359
637,0.4829
638,1.153
639,1.549
640,0.2763
641,1.562
642,1.575
643,1.585
644,0.1306
645,0.2724
646,2.58
647,1.223
648,0.687
649,0.2252
650,0.4583
651,1.717
652,0.6838
653,1.647
654,0.5167
655,1.116
656,1.269
657,1.747
658,2.077
659,0.7221
660,1.488
661,2.194
662,2.8
663,2.17
664,0.7433
665,0.1174
666,0.2552
667,0.2604
668,0.492
669,0.8503
670,1.711
671,1.264
672,0.6953
673,0.4566
674,0.3897
675,0.5144
676,0.8322
677,1.607
678,0.09158
679,0.6739
680,0.168
681,0.365
682,1.506
683,0.8586
684,0.8277
685,0.687
686,0.1368
687,1.137
688,0.1313
689,1.477
690,0.1279
691,0.3697
692,0.1561
693,0.2249
694,0.441
695,0.8912
696,0.4985
697,0.3476
698,1.435
699,0.986
700,1.288
701,1.995
702,1.616
703,1.72
704,0.924
705,1.437
706,2.088
707,1.936
708,2.457
709,2.556
710,2.054
711,1.935
712,1.337
713,1.05
714,2.126
715,0.7424
716,1.385
717,0.692
718,0.4574
719,0.5943
720,0.04315
721,2.24
722,1.711
723,1.343
724,0.9982
725,0.06076
726,0.9291
727,0.005243
728,0.8661
729,0.06323
730,0.3066
731,1.906
732,2.458
733,0.4178
734,1.663
735,2.766
736,2.328
737,1.557
738,0.3351
739,0.07094
740,0.1873
741,0.5385
742,0.05144
743,0.6484
744,0.2892
745,0.664
746,0.6196
747,0.4444
748,1.104
749,0.8017
750,0.8984
751,0.6028
752,0.7663
753,0.2255
754,0.8288
755,1.369
756,1.108
757,1.951
758,1.932
759,1.482
760,2.09
761,1.07
762,3.019
763,1.956
764,1.815
765,1.346
766,0.046
767,0.3594
768,0.3475
769,0.689
770,0.5746
771,1.35
772,0.03207
773,0.8767
774,0.01721
775,1.208
776,0.009227
777,1.522
778,0.06081
779,1.694
780,0.1999
781,1.379
782,0.0116
783,0.2729
784,0.9314
785,1.612
786,3.698
787,1.744
788,2.637
789,2.533
790,2.261
791,1.706
792,3.39
793,0.4991
794,2.351
795,3.125
796,3.177
797,2.427
798,0.6562
799,0.283
800,0.578
801,0.06937
802,1.239
803,0.4573
804,0.5539
805,1.092
806,1.849
807,1.447
808,0.3088
809,0.3991
810,1.968
811,1.227
812,1.516
813,1.268
814,0.6192
815,0.5284
816,0.7117
817,1.162
818,0.9779
819,1.066
820,0.1426
821,0.1785
822,0.9346
823,0.1878
824,1.05
825,0.5785
826,2.544
827,1.573
828,0.2773
829,0.2391
830,1.476
831,0.25
832,0.6026
833,0.4579
834,0.07128
835,0.6076
836,1.914
837,0.6424
838,0.2048
839,1.013
840,1.089
841,0.246
842,1.869
843,1.06
844,1.596
845,1.349
846,2.006
847,0.5024
848,0.07491
849,0.02202
850,0.471
851,0.02806
852,0.5782
853,1.813
854,0.1342
855,0.2564
856,0.08058
857,2.035
858,0.4626
859,0.7519
860,0.7693
861,0.7085
862,0.6597
863,0.5702
864,0.5348
865,0.1445
866,0.7632
867,0.2553
868,0.7502
869,0.241
870,0.3489
871,0.6855
872,0.5194
873,0.2543
874,0.1437
875,0.0513
876,0.3699
877,0.06245
878,0.689
879,0.03691
880,0.9209
881,0.01362
882,1.529
883,2.25
884,1.573
885,1.812
886,0.678
887,0.1062
888,0.4391
889,1.203
890,0.5093
891,0.3853
892,0.1388
893,0.3691
894,1.097
895,1.015
896,0.5699
897,1.494
898,0.8165
899,0.5474
900,0.8272
901,0.002511
902,1.62
903,0.7406
904,1.556
905,1.204
906,0.3823
907,0.8827
908,0.3761
909,1.387
910,1.811
911,1.796
912,0.49
913,0.3283
914,1.392
915,1.093
916,0.5541
917,0.01767
918,0.114
919,1.095
920,0.556
921,1.082
922,0.02162
923,0.5543
924,0.5505
925,1.567
926,0.3167
927,1.043
928,0.2576
929,0.935
930,0.004967
931,0.2503
932,1.82
933,1.652
934,0.6211
935,0.3259
936,0.3513
937,0.1111
938,0.9325
939,0.7178
940,0.8981
941,0.9958
942,0.9543
943,0.3606
944,2.071
945,0.3914
946,1.006
947,0.4909
948,1.261
949,1.65
950,0.6608
951,0.8681
952,0.8924
953,0.8391
954,0.5189
955,0.8783
956,0.01034
957,0.3245
958,0.3577
959,0.4311
960,0.896
961,0.3309
962,0.239
963,0.2617
964,0.4502
965,0.05122
966,0.5815
967,1.456
968,2.055
969,1.51
970,0.4337
971,0.5556
972,0.1186
973,0.1801
974,2.468
975,0.5562
976,0.2824
977,0.4247
978,1.111
979,0.6497
980,0.0175
981,0.7635
982,0.3857
983,0.1889
984,0.5739
985,0.08023
986,0.2552
987,0.3779
